Local não encontrado.Local não encontrado.Local não encontrado.Local não encontrado.Local não encontrado.94
8
16
6
7
6
7
5
6
6
5
5
3
8
6
4
6
5
4
5
4
4
3
3
5
4
4
5
5
4
4
4
20
5
4
5
5
6
5
5
5
5
37
5
5
5
4
5
5
5
5
5
4
5
4
23
5
5
8
5
4
5
5
4
5
3
5
9
4
4
5
5
10
6
5
5
7
5
5
5
4
4
2
5
4
4
5
4
4
4
5
5
4
5
5
4
5
3
4
5
5
5
7
7
4
5
14
8
4
5
5
4
3
5
6
5
5
4
7
6
5
4
5
4
5
4
4
3
5
4
4
5
4
4
4
4
5
4
4
5
5
5
4
2
5
5
3
4
6
20
5
6
5
5
5
5
5
6
5
6
4
5
4
4
4
3
4
6
4
5
5
4
5
2
4
6
4
18
5
8
6
4
4
4
4
8
5
4
5
5
4
7
5
5
5
24
4
4
4
5
4
4
5
3
5
13
5
4
4
6
5
4
4
4
5
7
3
4
5
4
5
5
4
4
4
4
5
5
5
4
4
4
4
5
6
5
5
3
4
8
4
4
4
5
5
5
5
5
4
5
3
4
4
4
5
4
4
5
3
5
4
4
4
5
5
4
5
5
4
5
5
5
4
4
5
4
4
4
4
5
4
4
4
4
9
4
4
3
6
6
5
5
5
3
4
5
4
4
5
6
7
