REQUEST,MOMENT,TIMESTAMP
PUT,BEGIN,1512596375165505988
PUT,END,1512596375182962618
PUT,BEGIN,1512596376385827754
PUT,END,1512596376404731252
PUT,BEGIN,1512596377607402091
PUT,END,1512596377624066325
PUT,BEGIN,1512596378825668787
PUT,END,1512596378836896781
PUT,BEGIN,1512596380039073132
PUT,END,1512596380055222034
PUT,BEGIN,1512596381256735547
PUT,END,1512596381266008585
PUT,BEGIN,1512596382467252011
PUT,END,1512596382476654704
PUT,BEGIN,1512596383678235432
PUT,END,1512596383687629680
PUT,BEGIN,1512596384889516598
PUT,END,1512596384903594628
PUT,BEGIN,1512596386104924106
PUT,END,1512596386114270895
PUT,BEGIN,1512596387315497290
PUT,END,1512596387325148418
PUT,BEGIN,1512596388527922820
PUT,END,1512596388546146893
PUT,BEGIN,1512596389749448392
PUT,END,1512596389773747746
PUT,BEGIN,1512596390975308669
PUT,END,1512596390985797851
PUT,BEGIN,1512596392187340867
PUT,END,1512596392196571465
PUT,BEGIN,1512596393397720650
PUT,END,1512596393406960967
PUT,BEGIN,1512596394609704772
PUT,END,1512596394629598286
PUT,BEGIN,1512596395831454500
PUT,END,1512596395843260765
PUT,BEGIN,1512596397045282595
PUT,END,1512596397060662838
PUT,BEGIN,1512596398263500534
PUT,END,1512596398282489284
PUT,BEGIN,1512596399485704926
PUT,END,1512596399504323979
PUT,BEGIN,1512596400706173008
PUT,END,1512596400716572706
PUT,BEGIN,1512596401919135716
PUT,END,1512596401939825168
PUT,BEGIN,1512596403141597319
PUT,END,1512596403150856297
PUT,BEGIN,1512596404353395219
PUT,END,1512596404371216108
PUT,BEGIN,1512596405574044934
PUT,END,1512596405592459298
PUT,BEGIN,1512596406794892816
PUT,END,1512596406810450519
PUT,BEGIN,1512596408012899148
PUT,END,1512596408029182841
PUT,BEGIN,1512596409231140666
PUT,END,1512596409251050524
PUT,BEGIN,1512596410454124253
PUT,END,1512596410472902284
PUT,BEGIN,1512596411676180676
PUT,END,1512596411693426083
